Ticker,Name,Country,Financial Currency,Sector Key,Industry Key,Market Cap,Current Asset,Non Current Asset,Total Liabilities,Net Income,ROIC,Final Value,Margin
BR,"Broadridge Financial Solutions, Inc.",United States,USD,technology,information-technology-services,24048449536,1392500000.0,6840700000.0,5992600000.0,"[630600000.0, 539100000.0]","[0.1316987272157788, 0.1066900364036027]",2896810545.240101,0.12045726860285272
XEL,Xcel Energy Inc.,United States,USD,utilities,utilities-regulated-electric,30849075200,4069000000.0,60010000000.0,46463000000.0,"[1771000000.0, 1736000000.0]","[0.06531722834225913, 0.06607638054065287]",-29492852374.61816,-1.0459847968638334
RMD,ResMed Inc.,United States,USD,healthcare,medical-instruments-supplies,32109465600,2367830000.0,4383878000.0,2621805000.0,"[897556000.0, 779437000.0]","[0.1684719279908458, 0.1966275537719471]",18252720335.24102,0.568452946636428
DLR,"Digital Realty Trust, Inc.",United States,USD,real-estate,reit-specialty,47620673536,3382108000.0,40731150000.0,23116937000.0,"[948838000.0, 377684000.0]","[0.03785919134589922, 0.01962851119662343]",-14878168533.138737,-3.2007080327079627
MCD,McDonald's Corporation,United States,USD,consumer-cyclical,restaurants,196299358208,7986400000.0,48160400000.0,60853500000.0,"[8468800000.0, 6177400000.0]","[0.27610933548017913, 0.23846777469025524]",269421280098.8263,1.372502093528731
NTES,"NetEase, Inc.",China,CNY,communication-services,electronic-gaming-multimedia,67652538368,142692585000.0,43232393000.0,57840897000.0,"[29416552000.0, 20337600000.0]","[0.16592395040107652, 0.11761304082088925]",511868987780.5437,7.56614607712429
FANG,"Diamondback Energy, Inc.",United States,USD,energy,oil-gas-e-p,35253256192,1621000000.0,27380000000.0,11571000000.0,"[3143000000.0, 4386000000.0]","[0.14929207334870942, 0.2201490571421579]",56054995025.49962,1.590065743720438
CHTR,"Charter Communications, Inc.",United States,USD,communication-services,telecom-services,39323070464,4132000000.0,143061000000.0,132475000000.0,"[4557000000.0, 5055000000.0]","[0.08490681036067475, 0.08826827124035144]",-88034244811.8492,-0.44667925019454713
NKE,"NIKE, Inc.",United States,USD,consumer-cyclical,footwear-accessories,139132813312,25202000000.0,12329000000.0,23527000000.0,"[5070000000.0, 6046000000.0]","[0.21084551257847928, 0.245551247203418]",154349430774.5401,1.109367568299057
D,"Dominion Energy, Inc.",United States,USD,utilities,utilities-regulated-electric,44844290048,25387000000.0,83645000000.0,81503000000.0,"[1994000000.0, 1321000000.0]","[0.04178588309779599, 0.03848174023429293]",-44721626671.368805,-1.0027428201020632
DOCU,"DocuSign, Inc.",United States,USD,technology,software-application,12328841216,1567667000.0,1403623000.0,1841551000.0,"[73980000.0, -97454000.0]","[0.07026829253334416, -0.06754845966134085]",15243569.371244907,0.0012364154184630312
CTVA,"Corteva, Inc.",United States,USD,basic-materials,agricultural-inputs,39344295936,16260000000.0,26736000000.0,17717000000.0,"[735000000.0, 1147000000.0]","[0.041474929636452926, 0.048235964027137895]",2937632850.985653,0.07466477112118611
DE,Deere & Company,United States,USD,industrials,farm-heavy-construction-machinery,110513692672,76369000000.0,27718000000.0,82201000000.0,"[10166000000.0, 7131000000.0]","[0.14159813782324399, 0.11018116685022177]",122454669616.47357,1.1080497507210612
CPT,Camden Property Trust,United States,USD,real-estate,reit-residential,11345977344,279952000.0,9103785000.0,4331966000.0,"[403309000.0, 653613000.0]","[0.06241521506096745, 0.08934801551550262]",-820872886.6979508,-13.821844438839257
NSC,Norfolk Southern Corporation,United States,USD,industrials,railroads,52292313088,3271000000.0,38381000000.0,28871000000.0,"[1827000000.0, 3270000000.0]","[0.0799591121495327, 0.13676887507432414]",-5892307199.438328,-8.874675287294027
IEX,IDEX Corporation,United States,USD,industrials,specialty-industrial-machinery,16829358080,1446300000.0,4418900000.0,2324000000.0,"[596100000.0, 586900000.0]","[0.13069394231678136, 0.1372146726550125]",7201117937.03199,0.4278902322239964
ABT,Abbott Laboratories,United States,USD,healthcare,medical-devices,181078081536,22670000000.0,50544000000.0,34387000000.0,"[5723000000.0, 6933000000.0]","[0.11767672892511984, 0.13840066924778993]",61893011349.811905,0.34180288870305375
LULU,Lululemon Athletica Inc.,Canada,USD,consumer-cyclical,apparel-retail,42206380032,4060577000.0,3031364000.0,2859860000.0,"[1550190000.0, 854800000.0]","[0.3715883790539503, 0.35164584090307915]",132121345128.3332,3.13036429630216
GD,General Dynamics Corporation,United States,USD,industrials,aerospace-defense,82040324096,23615000000.0,31195000000.0,33511000000.0,"[3315000000.0, 3390000000.0]","[0.11933898059515549, 0.12793891925601053]",31107840293.41256,0.3791774427537795
TMO,Thermo Fisher Scientific Inc.,United States,USD,healthcare,diagnostics-research,227235528704,24589000000.0,74137000000.0,51884000000.0,"[5995000000.0, 6950000000.0]","[0.08973443625712088, 0.09931510745344795]",29736958777.14865,0.13086403762100252
GE,General Electric Company,United States,USD,industrials,aerospace-defense,175017197568,59798000000.0,103247000000.0,134465000000.0,"[9481000000.0, 339000000.0]","[0.20726331568307174, 0.01169638119962894]",28638032860.28842,0.16362982185885816
OTIS,Otis Worldwide Corporation,United States,USD,industrials,specialty-industrial-machinery,39134425088,6400000000.0,3717000000.0,14837000000.0,"[1406000000.0, 1253000000.0]","[0.8167796320158115, 0.7766809063063707]",1892148066238.929,48.3499645640413
DVA,DaVita Inc.,United States,USD,healthcare,medical-care-facilities,12262578176,3137906000.0,13755672000.0,14150228000.0,"[691535000.0, 560400000.0]","[0.13558814219970325, 0.10917218955535893]",-2553942852.0374374,-4.801430136237147
PPG,"PPG Industries, Inc.",United States,USD,basic-materials,specialty-chemicals,31526180864,7431000000.0,14216000000.0,13624000000.0,"[1270000000.0, 1026000000.0]","[0.10758803048425376, 0.08828302274820742]",6270650148.388798,0.1989029427776107
LUMN,"Lumen Technologies, Inc.",United States,USD,communication-services,telecom-services,1339852800,4775000000.0,29243000000.0,33601000000.0,"[-10298000000.0, -1548000000.0]","[-0.4475912637221688, 0.01721262708002867]",-32345452350.84192,-0.041423220348474274
VTRS,Viatris Inc.,United States,USD,healthcare,drug-manufacturers-specialty-generic,13073666048,12976100000.0,34709400000.0,27218100000.0,"[54700000.0, 2078600000.0]","[0.005421131863499978, 0.06238060604583999]",-13947659869.497242,-0.9373376014560967
EXPD,"Expeditors International of Washington, Inc.",United States,USD,industrials,integrated-freight-logistics,16653611008,3435196000.0,1088613000.0,2132396000.0,"[752883000.0, 1357399000.0]","[0.31599310266797787, 0.4430374960912534]",73757381580.96674,4.428912236843735
CBRE,"CBRE Group, Inc.",United States,USD,real-estate,real-estate-services,28003825664,9666000000.0,12882000000.0,13481000000.0,"[986000000.0, 1407000000.0]","[0.07452892708784258, 0.11356270622381864]",5524102926.486053,0.19726243809564567
EQR,Equity Residential,United States,USD,real-estate,reit-residential,25440389120,139995000.0,19894569000.0,8456188000.0,"[835438000.0, 776911000.0]","[0.061991890675753045, 0.058972082404692885]",-2521634747.5866814,-10.088847777953411
WM,"Waste Management, Inc.",United States,USD,industrials,waste-management,84403912704,3804000000.0,29019000000.0,25927000000.0,"[2304000000.0, 2238000000.0]","[0.11467648530721287, 0.11588747997251363]",4325587638.141083,0.05124866252718268
DXCM,"DexCom, Inc.",United States,USD,healthcare,medical-devices,52239769600,4425900000.0,1838600000.0,4195900000.0,"[541500000.0, 341200000.0]","[0.12369494679286641, 0.08713568757266074]",5917565225.883734,0.11327701617358844
KLAC,KLA Corporation,United States,USD,technology,semiconductor-equipment-materials,100667637760,8372032000.0,5700325000.0,11152604000.0,"[3387277000.0, 3321807000.0]","[0.4145968371834946, 0.4309956670835745]",441186731135.3435,4.382607369680903
CDW,CDW Corporation,United States,USD,technology,information-technology-services,30056769536,6705000000.0,6579600000.0,11242100000.0,"[1104300000.0, 1114500000.0]","[0.16609668213665787, 0.17154678853684519]",15723066575.482319,0.5231123243850366
WRK,WestRock Company,United States,USD,consumer-cyclical,packaging-containers,13672972288,6993100000.0,20450600000.0,17346000000.0,"[-1649000000.0, 944600000.0]","[-0.06043850301629098, 0.0647091507844183]",-16847576307.711014,-0.8115690968404743
EXR,Extra Space Storage Inc.,United States,USD,real-estate,reit-industrial,33485211648,929721000.0,26526541000.0,12042313000.0,"[803198000.0, 860688000.0]","[0.050278111984228914, 0.10720919322692396]",-4504466233.010281,-7.433780145272004
TXT,Textron Inc.,United States,USD,industrials,aerospace-defense,17004630016,8405000000.0,8451000000.0,9869000000.0,"[921000000.0, 861000000.0]","[0.09090432441997044, 0.0892953604557631]",6949865151.465385,0.40870428494628325
TAP,Molson Coors Beverage Company,United States,USD,consumer-defensive,beverages-brewers,11978190848,2848500000.0,23526600000.0,12940000000.0,"[948900000.0, -175300000.0]","[0.05844935960344154, 0.02915491377519219]",-4474875237.087064,-2.676765320455559
MTD,Mettler-Toledo International Inc.,United States,USD,healthcare,diagnostics-research,32521979904,1230203000.0,2125352000.0,3505493000.0,"[788778000.0, 872502000.0]","[0.4409594762871175, 0.44997438026223574]",118815059812.03307,3.653377197906071
ZTS,Zoetis Inc.,United States,USD,healthcare,drug-manufacturers-specialty-generic,79422709760,6343000000.0,7943000000.0,9295000000.0,"[2344000000.0, 2114000000.0]","[0.2188242520949635, 0.18577071508064916]",54084141405.26625,0.6809657032440471
COST,Costco Wholesale Corporation,United States,USD,consumer-defensive,discount-stores,352944914432,35879000000.0,33115000000.0,43936000000.0,"[6292000000.0, 5844000000.0]","[0.20340839778054048, 0.22185394158398677]",158724983540.32196,0.4497160238043397
MRNA,"Moderna, Inc.",United States,USD,healthcare,biotechnology,50932592640,10325000000.0,8101000000.0,4572000000.0,"[-4714000000.0, 8362000000.0]","[-0.33698268314847074, 0.438598868476698]",-24079992195.948322,-2.1151415758585617
ZM,"Zoom Video Communications, Inc.",United States,USD,technology,software-application,19917125632,7926219000.0,2003574000.0,1910387000.0,"[637462000.0, 103711000.0]","[0.05016675180323632, 0.01645189714252369]",9426433146.659782,0.4732828080129561
ETN,Eaton Corporation plc,Ireland,USD,industrials,specialty-industrial-machinery,132060332032,11675000000.0,26757000000.0,19363000000.0,"[3218000000.0, 2462000000.0]","[0.11835959293497836, 0.1007273166257986]",27395454258.55948,0.207446504465256
